,category,language,City,number_speakers
710,Non-Official & Non-Aboriginal languages,Greek,Calgary,1590
711,Non-Official & Non-Aboriginal languages,Gujarati,Calgary,5575
712,Aboriginal languages,Gwich'in,Calgary,5
713,Aboriginal languages,Haida,Calgary,0
714,Aboriginal languages,Haisla,Calgary,0
715,Non-Official & Non-Aboriginal languages,Haitian Creole,Calgary,25
716,Non-Official & Non-Aboriginal languages,Hakka,Calgary,345
717,Aboriginal languages,Halkomelem,Calgary,0
718,Non-Official & Non-Aboriginal languages,Harari,Calgary,75
719,Non-Official & Non-Aboriginal languages,Hebrew,Calgary,505
720,Aboriginal languages,Heiltsuk,Calgary,0
721,Non-Official & Non-Aboriginal languages,Hiligaynon,Calgary,690
722,Non-Official & Non-Aboriginal languages,Hindi,Calgary,7390
723,Non-Official & Non-Aboriginal languages,Hmong-Mien languages,Calgary,90
724,Non-Official & Non-Aboriginal languages,Hungarian,Calgary,3640
725,Non-Official & Non-Aboriginal languages,Icelandic,Calgary,70
726,Non-Official & Non-Aboriginal languages,Igbo,Calgary,710
727,Non-Official & Non-Aboriginal languages,Ilocano,Calgary,2595
728,Non-Official & Non-Aboriginal languages,"Indo-Iranian languages, n.i.e.",Calgary,955
729,Aboriginal languages,Inuinnaqtun (Inuvialuktun),Calgary,5
730,Aboriginal languages,"Inuit languages, n.i.e.",Calgary,10
731,Aboriginal languages,Inuktitut,Calgary,10
732,Aboriginal languages,"Iroquoian languages, n.i.e.",Calgary,0
733,Non-Official & Non-Aboriginal languages,Italian,Calgary,5430
734,Non-Official & Non-Aboriginal languages,"Italic (Romance) languages, n.i.e.",Calgary,10
735,Non-Official & Non-Aboriginal languages,Japanese,Calgary,2420
736,Non-Official & Non-Aboriginal languages,Kabyle,Calgary,65
737,Non-Official & Non-Aboriginal languages,Kannada,Calgary,285
738,Non-Official & Non-Aboriginal languages,Karenic languages,Calgary,280
739,Non-Official & Non-Aboriginal languages,Kashmiri,Calgary,85
740,Aboriginal languages,Kaska (Nahani),Calgary,0
741,Non-Official & Non-Aboriginal languages,Khmer (Cambodian),Calgary,880
742,Non-Official & Non-Aboriginal languages,Kinyarwanda (Rwanda),Calgary,125
743,Non-Official & Non-Aboriginal languages,Konkani,Calgary,175
744,Non-Official & Non-Aboriginal languages,Korean,Calgary,9225
745,Non-Official & Non-Aboriginal languages,Kurdish,Calgary,750
746,Aboriginal languages,Kutenai,Calgary,5
747,Aboriginal languages,Kwakiutl (Kwak'wala),Calgary,0
748,Non-Official & Non-Aboriginal languages,Lao,Calgary,470
749,Non-Official & Non-Aboriginal languages,Latvian,Calgary,190
750,Aboriginal languages,Lillooet,Calgary,0
751,Non-Official & Non-Aboriginal languages,Lingala,Calgary,85
752,Non-Official & Non-Aboriginal languages,Lithuanian,Calgary,340
753,Non-Official & Non-Aboriginal languages,Macedonian,Calgary,160
754,Non-Official & Non-Aboriginal languages,Malagasy,Calgary,25
755,Non-Official & Non-Aboriginal languages,Malay,Calgary,800
756,Non-Official & Non-Aboriginal languages,Malayalam,Calgary,2130
757,Aboriginal languages,Malecite,Calgary,0
758,Non-Official & Non-Aboriginal languages,Maltese,Calgary,35
759,Non-Official & Non-Aboriginal languages,Mandarin,Calgary,28745
760,Non-Official & Non-Aboriginal languages,Marathi,Calgary,845
761,Aboriginal languages,Mi'kmaq,Calgary,10
762,Aboriginal languages,Michif,Calgary,15
763,Non-Official & Non-Aboriginal languages,Min Dong,Calgary,45
764,Non-Official & Non-Aboriginal languages,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",Calgary,1720
765,Aboriginal languages,Mohawk,Calgary,5
766,Non-Official & Non-Aboriginal languages,Mongolian,Calgary,450
767,Aboriginal languages,Montagnais (Innu),Calgary,5
768,Aboriginal languages,Moose Cree,Calgary,5
769,Aboriginal languages,Naskapi,Calgary,0
770,Non-Official & Non-Aboriginal languages,Nepali,Calgary,1935
771,Non-Official & Non-Aboriginal languages,"Niger-Congo languages, n.i.e.",Calgary,1110
772,Non-Official & Non-Aboriginal languages,"Nilo-Saharan languages, n.i.e.",Calgary,785
773,Aboriginal languages,Nisga'a,Calgary,0
774,Aboriginal languages,North Slavey (Hare),Calgary,0
775,Aboriginal languages,Northern East Cree,Calgary,0
776,Aboriginal languages,Northern Tutchone,Calgary,0
777,Non-Official & Non-Aboriginal languages,Norwegian,Calgary,245
778,Aboriginal languages,Nuu-chah-nulth (Nootka),Calgary,5
779,Aboriginal languages,Oji-Cree,Calgary,5
780,Aboriginal languages,Ojibway,Calgary,55
781,Aboriginal languages,Okanagan,Calgary,0
782,Aboriginal languages,Oneida,Calgary,0
783,Non-Official & Non-Aboriginal languages,Oriya (Odia),Calgary,100
784,Non-Official & Non-Aboriginal languages,Oromo,Calgary,950
785,Non-Official & Non-Aboriginal languages,"Other languages, n.i.e.",Calgary,330
786,Aboriginal languages,Ottawa (Odawa),Calgary,0
787,Non-Official & Non-Aboriginal languages,"Pampangan (Kapampangan, Pampango)",Calgary,265
788,Non-Official & Non-Aboriginal languages,Pangasinan,Calgary,125
789,Non-Official & Non-Aboriginal languages,Pashto,Calgary,1640
790,Non-Official & Non-Aboriginal languages,Persian (Farsi),Calgary,9725
791,Aboriginal languages,Plains Cree,Calgary,55
792,Non-Official & Non-Aboriginal languages,Polish,Calgary,8145
793,Non-Official & Non-Aboriginal languages,Portuguese,Calgary,3695
794,Non-Official & Non-Aboriginal languages,Punjabi (Panjabi),Calgary,38840
795,Non-Official & Non-Aboriginal languages,Quebec Sign Language,Calgary,0
796,Non-Official & Non-Aboriginal languages,Romanian,Calgary,4795
797,Non-Official & Non-Aboriginal languages,Rundi (Kirundi),Calgary,150
798,Non-Official & Non-Aboriginal languages,Russian,Calgary,9555
799,Aboriginal languages,"Salish languages, n.i.e.",Calgary,0
800,Aboriginal languages,Sarsi (Sarcee),Calgary,65
801,Non-Official & Non-Aboriginal languages,Scottish Gaelic,Calgary,55
802,Aboriginal languages,Sekani,Calgary,0
803,Non-Official & Non-Aboriginal languages,"Semitic languages, n.i.e.",Calgary,210
804,Non-Official & Non-Aboriginal languages,Serbian,Calgary,1860
805,Non-Official & Non-Aboriginal languages,Serbo-Croatian,Calgary,525
806,Non-Official & Non-Aboriginal languages,Shona,Calgary,320
807,Aboriginal languages,Shuswap (Secwepemctsin),Calgary,0
808,Non-Official & Non-Aboriginal languages,"Sign languages, n.i.e",Calgary,160
809,Non-Official & Non-Aboriginal languages,Sindhi,Calgary,1735
810,Non-Official & Non-Aboriginal languages,Sinhala (Sinhalese),Calgary,960
811,Aboriginal languages,"Siouan languages, n.i.e.",Calgary,0
812,Aboriginal languages,"Slavey, n.o.s.",Calgary,5
813,Non-Official & Non-Aboriginal languages,"Slavic languages, n.i.e.",Calgary,65
814,Non-Official & Non-Aboriginal languages,Slovak,Calgary,1175
815,Non-Official & Non-Aboriginal languages,Slovene (Slovenian),Calgary,270
816,Non-Official & Non-Aboriginal languages,Somali,Calgary,1460
817,Aboriginal languages,South Slavey,Calgary,0
818,Aboriginal languages,Southern East Cree,Calgary,0
819,Aboriginal languages,Southern Tutchone,Calgary,0
820,Non-Official & Non-Aboriginal languages,Spanish,Calgary,28690
821,Aboriginal languages,Squamish,Calgary,0
822,Aboriginal languages,Stoney,Calgary,90
823,Aboriginal languages,Straits,Calgary,0
824,Non-Official & Non-Aboriginal languages,Swahili,Calgary,795
825,Aboriginal languages,Swampy Cree,Calgary,10
826,Non-Official & Non-Aboriginal languages,Swedish,Calgary,295
827,Non-Official & Non-Aboriginal languages,"Tagalog (Pilipino, Filipino)",Calgary,40960
828,Aboriginal languages,Tahltan,Calgary,0
829,Non-Official & Non-Aboriginal languages,"Tai-Kadai languages, n.i.e",Calgary,10
830,Non-Official & Non-Aboriginal languages,Tamil,Calgary,1860
831,Non-Official & Non-Aboriginal languages,Telugu,Calgary,955
832,Non-Official & Non-Aboriginal languages,Thai,Calgary,635
833,Aboriginal languages,Thompson (Ntlakapamux),Calgary,0
834,Non-Official & Non-Aboriginal languages,Tibetan,Calgary,550
835,Non-Official & Non-Aboriginal languages,"Tibeto-Burman languages, n.i.e.",Calgary,150
836,Non-Official & Non-Aboriginal languages,Tigrigna,Calgary,2755
837,Aboriginal languages,Tlingit,Calgary,0
838,Aboriginal languages,Tsimshian,Calgary,0
839,Non-Official & Non-Aboriginal languages,"Turkic languages, n.i.e.",Calgary,140
840,Non-Official & Non-Aboriginal languages,Turkish,Calgary,1265
841,Non-Official & Non-Aboriginal languages,Ukrainian,Calgary,3625
842,Non-Official & Non-Aboriginal languages,"Uralic languages, n.i.e.",Calgary,0
843,Non-Official & Non-Aboriginal languages,Urdu,Calgary,16930
844,Non-Official & Non-Aboriginal languages,Uyghur,Calgary,60
845,Non-Official & Non-Aboriginal languages,Uzbek,Calgary,75
846,Non-Official & Non-Aboriginal languages,Vietnamese,Calgary,13540
847,Non-Official & Non-Aboriginal languages,Vlaams (Flemish),Calgary,105
848,Aboriginal languages,"Wakashan languages, n.i.e.",Calgary,0
849,Non-Official & Non-Aboriginal languages,Waray-Waray,Calgary,150
850,Non-Official & Non-Aboriginal languages,Welsh,Calgary,65
851,Non-Official & Non-Aboriginal languages,Wolof,Calgary,120
852,Aboriginal languages,Woods Cree,Calgary,10
853,Non-Official & Non-Aboriginal languages,Wu (Shanghainese),Calgary,380
854,Non-Official & Non-Aboriginal languages,Yiddish,Calgary,80
855,Non-Official & Non-Aboriginal languages,Yoruba,Calgary,1430
856,Aboriginal languages,"Aboriginal languages, n.o.s.",Edmonton,25
857,Non-Official & Non-Aboriginal languages,Afrikaans,Edmonton,575
858,Non-Official & Non-Aboriginal languages,"Afro-Asiatic languages, n.i.e.",Edmonton,65
859,Non-Official & Non-Aboriginal languages,Akan (Twi),Edmonton,885
860,Non-Official & Non-Aboriginal languages,Albanian,Edmonton,770
861,Aboriginal languages,"Algonquian languages, n.i.e.",Edmonton,0
862,Aboriginal languages,Algonquin,Edmonton,0
863,Non-Official & Non-Aboriginal languages,American Sign Language,Edmonton,180
864,Non-Official & Non-Aboriginal languages,Amharic,Edmonton,2515
865,Non-Official & Non-Aboriginal languages,Arabic,Edmonton,17525
866,Non-Official & Non-Aboriginal languages,Armenian,Edmonton,170
867,Non-Official & Non-Aboriginal languages,Assyrian Neo-Aramaic,Edmonton,75
868,Aboriginal languages,"Athabaskan languages, n.i.e.",Edmonton,0
869,Aboriginal languages,Atikamekw,Edmonton,0
870,Non-Official & Non-Aboriginal languages,"Austro-Asiatic languages, n.i.e",Edmonton,10
871,Non-Official & Non-Aboriginal languages,"Austronesian languages, n.i.e.",Edmonton,285
872,Non-Official & Non-Aboriginal languages,Azerbaijani,Edmonton,120
873,Aboriginal languages,Babine (Wetsuwet'en),Edmonton,0
874,Non-Official & Non-Aboriginal languages,Bamanankan,Edmonton,20
875,Aboriginal languages,Beaver,Edmonton,5
876,Non-Official & Non-Aboriginal languages,Belarusan,Edmonton,35
877,Non-Official & Non-Aboriginal languages,Bengali,Edmonton,2335
878,Non-Official & Non-Aboriginal languages,"Berber languages, n.i.e.",Edmonton,55
879,Non-Official & Non-Aboriginal languages,Bikol,Edmonton,110
880,Non-Official & Non-Aboriginal languages,Bilen,Edmonton,245
881,Aboriginal languages,Blackfoot,Edmonton,35
882,Non-Official & Non-Aboriginal languages,Bosnian,Edmonton,715
883,Non-Official & Non-Aboriginal languages,Bulgarian,Edmonton,480
884,Non-Official & Non-Aboriginal languages,Burmese,Edmonton,145
885,Non-Official & Non-Aboriginal languages,Cantonese,Edmonton,22670
886,Aboriginal languages,Carrier,Edmonton,5
887,Non-Official & Non-Aboriginal languages,Catalan,Edmonton,25
888,Aboriginal languages,Cayuga,Edmonton,0
889,Non-Official & Non-Aboriginal languages,Cebuano,Edmonton,1945
890,Non-Official & Non-Aboriginal languages,"Celtic languages, n.i.e.",Edmonton,35
891,Non-Official & Non-Aboriginal languages,Chaldean Neo-Aramaic,Edmonton,40
892,Aboriginal languages,Chilcotin,Edmonton,5
893,Non-Official & Non-Aboriginal languages,"Chinese languages, n.i.e.",Edmonton,25
894,Non-Official & Non-Aboriginal languages,"Chinese, n.o.s.",Edmonton,2370
895,Aboriginal languages,Comox,Edmonton,0
896,Aboriginal languages,"Cree, n.o.s.",Edmonton,1455
897,Non-Official & Non-Aboriginal languages,"Creole languages, n.i.e.",Edmonton,345
898,Non-Official & Non-Aboriginal languages,"Creole, n.o.s.",Edmonton,615
899,Non-Official & Non-Aboriginal languages,Croatian,Edmonton,2010
900,Non-Official & Non-Aboriginal languages,"Cushitic languages, n.i.e.",Edmonton,25
901,Non-Official & Non-Aboriginal languages,Czech,Edmonton,895
902,Aboriginal languages,Dakota,Edmonton,65
903,Non-Official & Non-Aboriginal languages,Danish,Edmonton,745
904,Aboriginal languages,Dene,Edmonton,145
905,Non-Official & Non-Aboriginal languages,Dinka,Edmonton,335
906,Aboriginal languages,Dogrib (Tlicho),Edmonton,20
907,Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",Edmonton,25
908,Non-Official & Non-Aboriginal languages,Dutch,Edmonton,4100
909,Non-Official & Non-Aboriginal languages,Edo,Edmonton,140
910,Official languages,English,Edmonton,930405
911,Non-Official & Non-Aboriginal languages,Estonian,Edmonton,45
912,Non-Official & Non-Aboriginal languages,Ewe,Edmonton,125
913,Non-Official & Non-Aboriginal languages,Fijian,Edmonton,55
914,Non-Official & Non-Aboriginal languages,Finnish,Edmonton,230
915,Official languages,French,Edmonton,27100
916,Non-Official & Non-Aboriginal languages,Frisian,Edmonton,95
917,Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",Edmonton,140
918,Non-Official & Non-Aboriginal languages,Ga,Edmonton,65
919,Non-Official & Non-Aboriginal languages,Ganda,Edmonton,210
920,Non-Official & Non-Aboriginal languages,Georgian,Edmonton,70
921,Non-Official & Non-Aboriginal languages,German,Edmonton,14760
922,Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",Edmonton,10
923,Aboriginal languages,Gitxsan (Gitksan),Edmonton,0
924,Non-Official & Non-Aboriginal languages,Greek,Edmonton,1080
925,Non-Official & Non-Aboriginal languages,Gujarati,Edmonton,5750
926,Aboriginal languages,Gwich'in,Edmonton,5
927,Aboriginal languages,Haida,Edmonton,5
928,Aboriginal languages,Haisla,Edmonton,0
929,Non-Official & Non-Aboriginal languages,Haitian Creole,Edmonton,55
930,Non-Official & Non-Aboriginal languages,Hakka,Edmonton,625
931,Aboriginal languages,Halkomelem,Edmonton,0
932,Non-Official & Non-Aboriginal languages,Harari,Edmonton,165
933,Non-Official & Non-Aboriginal languages,Hebrew,Edmonton,405
934,Aboriginal languages,Heiltsuk,Edmonton,0
935,Non-Official & Non-Aboriginal languages,Hiligaynon,Edmonton,530
936,Non-Official & Non-Aboriginal languages,Hindi,Edmonton,8415
937,Non-Official & Non-Aboriginal languages,Hmong-Mien languages,Edmonton,10
938,Non-Official & Non-Aboriginal languages,Hungarian,Edmonton,1580
939,Non-Official & Non-Aboriginal languages,Icelandic,Edmonton,35
940,Non-Official & Non-Aboriginal languages,Igbo,Edmonton,305
941,Non-Official & Non-Aboriginal languages,Ilocano,Edmonton,1845
942,Non-Official & Non-Aboriginal languages,"Indo-Iranian languages, n.i.e.",Edmonton,280
943,Aboriginal languages,Inuinnaqtun (Inuvialuktun),Edmonton,10
944,Aboriginal languages,"Inuit languages, n.i.e.",Edmonton,20
945,Aboriginal languages,Inuktitut,Edmonton,40
946,Aboriginal languages,"Iroquoian languages, n.i.e.",Edmonton,0
947,Non-Official & Non-Aboriginal languages,Italian,Edmonton,4915
948,Non-Official & Non-Aboriginal languages,"Italic (Romance) languages, n.i.e.",Edmonton,15
949,Non-Official & Non-Aboriginal languages,Japanese,Edmonton,1055
950,Non-Official & Non-Aboriginal languages,Kabyle,Edmonton,75
951,Non-Official & Non-Aboriginal languages,Kannada,Edmonton,205
952,Non-Official & Non-Aboriginal languages,Karenic languages,Edmonton,435
953,Non-Official & Non-Aboriginal languages,Kashmiri,Edmonton,20
954,Aboriginal languages,Kaska (Nahani),Edmonton,0
955,Non-Official & Non-Aboriginal languages,Khmer (Cambodian),Edmonton,760
956,Non-Official & Non-Aboriginal languages,Kinyarwanda (Rwanda),Edmonton,610
957,Non-Official & Non-Aboriginal languages,Konkani,Edmonton,150
958,Non-Official & Non-Aboriginal languages,Korean,Edmonton,6325
959,Non-Official & Non-Aboriginal languages,Kurdish,Edmonton,755
960,Aboriginal languages,Kutenai,Edmonton,0
961,Aboriginal languages,Kwakiutl (Kwak'wala),Edmonton,0
962,Non-Official & Non-Aboriginal languages,Lao,Edmonton,385
963,Non-Official & Non-Aboriginal languages,Latvian,Edmonton,145
964,Aboriginal languages,Lillooet,Edmonton,0
965,Non-Official & Non-Aboriginal languages,Lingala,Edmonton,160
966,Non-Official & Non-Aboriginal languages,Lithuanian,Edmonton,175
967,Non-Official & Non-Aboriginal languages,Macedonian,Edmonton,180
968,Non-Official & Non-Aboriginal languages,Malagasy,Edmonton,10
969,Non-Official & Non-Aboriginal languages,Malay,Edmonton,510
970,Non-Official & Non-Aboriginal languages,Malayalam,Edmonton,3455
971,Aboriginal languages,Malecite,Edmonton,0
972,Non-Official & Non-Aboriginal languages,Maltese,Edmonton,30
973,Non-Official & Non-Aboriginal languages,Mandarin,Edmonton,19925
974,Non-Official & Non-Aboriginal languages,Marathi,Edmonton,535
975,Aboriginal languages,Mi'kmaq,Edmonton,10
976,Aboriginal languages,Michif,Edmonton,30
977,Non-Official & Non-Aboriginal languages,Min Dong,Edmonton,70
978,Non-Official & Non-Aboriginal languages,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",Edmonton,1265
979,Aboriginal languages,Mohawk,Edmonton,5
980,Non-Official & Non-Aboriginal languages,Mongolian,Edmonton,85
981,Aboriginal languages,Montagnais (Innu),Edmonton,0
982,Aboriginal languages,Moose Cree,Edmonton,5
983,Aboriginal languages,Naskapi,Edmonton,0
984,Non-Official & Non-Aboriginal languages,Nepali,Edmonton,1990
985,Non-Official & Non-Aboriginal languages,"Niger-Congo languages, n.i.e.",Edmonton,1610
986,Non-Official & Non-Aboriginal languages,"Nilo-Saharan languages, n.i.e.",Edmonton,410
987,Aboriginal languages,Nisga'a,Edmonton,5
988,Aboriginal languages,North Slavey (Hare),Edmonton,10
989,Aboriginal languages,Northern East Cree,Edmonton,20
990,Aboriginal languages,Northern Tutchone,Edmonton,0
991,Non-Official & Non-Aboriginal languages,Norwegian,Edmonton,210
992,Aboriginal languages,Nuu-chah-nulth (Nootka),Edmonton,0
993,Aboriginal languages,Oji-Cree,Edmonton,0
994,Aboriginal languages,Ojibway,Edmonton,90
995,Aboriginal languages,Okanagan,Edmonton,5
996,Aboriginal languages,Oneida,Edmonton,0
997,Non-Official & Non-Aboriginal languages,Oriya (Odia),Edmonton,70
998,Non-Official & Non-Aboriginal languages,Oromo,Edmonton,1130
999,Non-Official & Non-Aboriginal languages,"Other languages, n.i.e.",Edmonton,235
1000,Aboriginal languages,Ottawa (Odawa),Edmonton,0
1001,Non-Official & Non-Aboriginal languages,"Pampangan (Kapampangan, Pampango)",Edmonton,340
1002,Non-Official & Non-Aboriginal languages,Pangasinan,Edmonton,110
1003,Non-Official & Non-Aboriginal languages,Pashto,Edmonton,660
1004,Non-Official & Non-Aboriginal languages,Persian (Farsi),Edmonton,4920
1005,Aboriginal languages,Plains Cree,Edmonton,350
1006,Non-Official & Non-Aboriginal languages,Polish,Edmonton,9380
1007,Non-Official & Non-Aboriginal languages,Portuguese,Edmonton,4625
1008,Non-Official & Non-Aboriginal languages,Punjabi (Panjabi),Edmonton,27785
1009,Non-Official & Non-Aboriginal languages,Quebec Sign Language,Edmonton,0
1010,Non-Official & Non-Aboriginal languages,Romanian,Edmonton,2540
1011,Non-Official & Non-Aboriginal languages,Rundi (Kirundi),Edmonton,400
1012,Non-Official & Non-Aboriginal languages,Russian,Edmonton,5725
1013,Aboriginal languages,"Salish languages, n.i.e.",Edmonton,0
1014,Aboriginal languages,Sarsi (Sarcee),Edmonton,0
1015,Non-Official & Non-Aboriginal languages,Scottish Gaelic,Edmonton,50
1016,Aboriginal languages,Sekani,Edmonton,0
1017,Non-Official & Non-Aboriginal languages,"Semitic languages, n.i.e.",Edmonton,80
1018,Non-Official & Non-Aboriginal languages,Serbian,Edmonton,1835
1019,Non-Official & Non-Aboriginal languages,Serbo-Croatian,Edmonton,360
1020,Non-Official & Non-Aboriginal languages,Shona,Edmonton,570
1021,Aboriginal languages,Shuswap (Secwepemctsin),Edmonton,0
1022,Non-Official & Non-Aboriginal languages,"Sign languages, n.i.e",Edmonton,210
1023,Non-Official & Non-Aboriginal languages,Sindhi,Edmonton,940
1024,Non-Official & Non-Aboriginal languages,Sinhala (Sinhalese),Edmonton,1310
1025,Aboriginal languages,"Siouan languages, n.i.e.",Edmonton,0
1026,Aboriginal languages,"Slavey, n.o.s.",Edmonton,10
1027,Non-Official & Non-Aboriginal languages,"Slavic languages, n.i.e.",Edmonton,95
1028,Non-Official & Non-Aboriginal languages,Slovak,Edmonton,610
1029,Non-Official & Non-Aboriginal languages,Slovene (Slovenian),Edmonton,290
1030,Non-Official & Non-Aboriginal languages,Somali,Edmonton,6510
1031,Aboriginal languages,South Slavey,Edmonton,25
1032,Aboriginal languages,Southern East Cree,Edmonton,0
1033,Aboriginal languages,Southern Tutchone,Edmonton,0
1034,Non-Official & Non-Aboriginal languages,Spanish,Edmonton,18470
1035,Aboriginal languages,Squamish,Edmonton,0
1036,Aboriginal languages,Stoney,Edmonton,155
1037,Aboriginal languages,Straits,Edmonton,0
1038,Non-Official & Non-Aboriginal languages,Swahili,Edmonton,1245
1039,Aboriginal languages,Swampy Cree,Edmonton,25
1040,Non-Official & Non-Aboriginal languages,Swedish,Edmonton,265
1041,Non-Official & Non-Aboriginal languages,"Tagalog (Pilipino, Filipino)",Edmonton,36755
1042,Aboriginal languages,Tahltan,Edmonton,0
1043,Non-Official & Non-Aboriginal languages,"Tai-Kadai languages, n.i.e",Edmonton,15
1044,Non-Official & Non-Aboriginal languages,Tamil,Edmonton,2175
1045,Non-Official & Non-Aboriginal languages,Telugu,Edmonton,935
1046,Non-Official & Non-Aboriginal languages,Thai,Edmonton,625
1047,Aboriginal languages,Thompson (Ntlakapamux),Edmonton,0
1048,Non-Official & Non-Aboriginal languages,Tibetan,Edmonton,20
1049,Non-Official & Non-Aboriginal languages,"Tibeto-Burman languages, n.i.e.",Edmonton,100
1050,Non-Official & Non-Aboriginal languages,Tigrigna,Edmonton,2325
1051,Aboriginal languages,Tlingit,Edmonton,0
1052,Aboriginal languages,Tsimshian,Edmonton,0
1053,Non-Official & Non-Aboriginal languages,"Turkic languages, n.i.e.",Edmonton,45
1054,Non-Official & Non-Aboriginal languages,Turkish,Edmonton,1745
1055,Non-Official & Non-Aboriginal languages,Ukrainian,Edmonton,11765
1056,Non-Official & Non-Aboriginal languages,"Uralic languages, n.i.e.",Edmonton,0
1057,Non-Official & Non-Aboriginal languages,Urdu,Edmonton,8140
1058,Non-Official & Non-Aboriginal languages,Uyghur,Edmonton,60
1059,Non-Official & Non-Aboriginal languages,Uzbek,Edmonton,110
1060,Non-Official & Non-Aboriginal languages,Vietnamese,Edmonton,8865
1061,Non-Official & Non-Aboriginal languages,Vlaams (Flemish),Edmonton,80
1062,Aboriginal languages,"Wakashan languages, n.i.e.",Edmonton,0
1063,Non-Official & Non-Aboriginal languages,Waray-Waray,Edmonton,70
1064,Non-Official & Non-Aboriginal languages,Welsh,Edmonton,35
1065,Non-Official & Non-Aboriginal languages,Wolof,Edmonton,130
1066,Aboriginal languages,Woods Cree,Edmonton,155
1067,Non-Official & Non-Aboriginal languages,Wu (Shanghainese),Edmonton,235
1068,Non-Official & Non-Aboriginal languages,Yiddish,Edmonton,55
1069,Non-Official & Non-Aboriginal languages,Yoruba,Edmonton,700
